Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,month,temp,NUM_COLLISIONS
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,Mar,34,0.763590392
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,38.4,0.616940582
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,39.1,0.570164349
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,Mar,38.3,0.629582807
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,Mar,42.2,0.537294564
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,Mar,43.8,0.557522124
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,Mar,43.3,0.694058154
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,Mar,46.7,0.657395702
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,48,0.648546144
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,49.3,0.538558786
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,49.3,0.605562579
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,38,0.552465234
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,38.4,0.672566372
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,39.9,0.715549937
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,49,0.735777497
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,43.1,0.671302149
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,46.2,0.570164349
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,59,0.735777497
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,65.7,0.774968394
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,65.1,0.733249052
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,56.2,0.653603034
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,44.2,0.820480405
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,46.5,0.701643489
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,52.3,0.596713021
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,49.9,0.762326169
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,53.9,0.713021492
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,62.7,0.676359039
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,55.3,0.699115044
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,60.8,0.720606827
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,55.5,0.672566372
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,46,0.595448799
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,47.6,0.714285714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,45.4,0.648546144
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,52.9,0.756005057
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,56.1,0.737041719
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,57.3,0.85335019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,57.8,0.653603034
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,58.9,0.556257901
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,55,0.756005057
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,57.7,0.728192162
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,May,57,0.728192162
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,May,58.9,0.739570164
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,May,56.6,0.867256637
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,May,54.7,0.733249052
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,May,52.1,0.651074589
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,May,55.4,0.709228824
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,May,60.9,0.748419722
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,May,60.3,0.783817952
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,May,58.9,0.761061947
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,May,66.9,0.882427307
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,May,64.4,0.661188369
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,May,62.6,0.666245259
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,May,51.7,0.729456384
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,May,51.1,0.714285714
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,May,58,0.672566372
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,May,69.5,0.706700379
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,May,66.4,0.936788875
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,May,61,0.639696587
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,May,57.3,0.687737042
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,May,65,0.830594185
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,May,75.9,0.881163085
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,May,71,0.720606827
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,May,71.5,0.92920354
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,May,59.6,0.844500632
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,May,48.1,0.649810367
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,May,55.5,0.575221239
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,May,61.7,0.530973451
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,May,61.1,0.867256637
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,May,66.9,0.725663717
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,May,81,0.865992415
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,May,83,0.930467762
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jun,80.8,0.797724399
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jun,80.1,0.615676359
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jun,72.2,0.89380531
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jun,66.1,0.774968394
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jun,66,0.757269279
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jun,63.8,0.764854614
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jun,61.5,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jun,64.9,0.721871049
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jun,71.7,0.673830594
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jun,67.7,0.788874842
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jun,69.6,0.80278129
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jun,70.9,0.777496839
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jun,65.7,0.675094817
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jun,59.9,0.876106195
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jun,69.4,0.753476612
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jun,72.8,0.603034134
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jun,75.3,0.776232617
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jun,72.8,0.774968394
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jun,67.4,0.786346397
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jun,69.6,0.860935525
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jun,71.6,0.872313527
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jun,72.4,0.757269279
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jun,76.1,0.638432364
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jun,80.6,0.859671302
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jun,80.9,0.819216182
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jun,79.4,0.785082174
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jun,78.1,0.756005057
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jun,77.1,0.768647282
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jun,76.2,0.747155499
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jun,77.5,0.534766119
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jul,74.2,0.800252845
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jul,75.6,0.759797724
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jul,76,0.80278129
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jul,79.5,0.553729456
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jul,82.3,0.728192162
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jul,84.6,0.652338812
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jul,85.6,0.600505689
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jul,81.3,0.780025284
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jul,78.8,0.737041719
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jul,79.4,0.776232617
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jul,80.6,0.695322377
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jul,75,0.757269279
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jul,72.2,0.726927939
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jul,80.3,0.595448799
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jul,85.3,0.734513274
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jul,85.9,0.735777497
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jul,86.7,0.769911504
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jul,88.2,0.804045512
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jul,89.1,0.881163085
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jul,86.7,0.696586599
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jul,82.3,0.565107459
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jul,78.2,0.747155499
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jul,78.7,0.721871049
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jul,78.5,0.721871049
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jul,67.3,0.640960809
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jul,72.2,0.780025284
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jul,75.2,0.652338812
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jul,73.3,0.613147914
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jul,75.1,0.754740834
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jul,74.4,0.738305942
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jul,74.1,0.699115044
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Aug,71.5,0.81289507
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Aug,73.6,0.791403287
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Aug,73.4,0.621997472
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Aug,73.2,0.573957016
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Aug,70.2,0.689001264
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Aug,72.1,0.686472819
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Aug,73.4,0.642225032
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Aug,73.8,0.694058154
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Aug,77,0.731984829
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Aug,77.2,0.625790139
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Aug,73.5,0.608091024
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Aug,74.5,0.656131479
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Aug,73.2,0.697850822
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Aug,68.3,0.786346397
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Aug,68.6,0.757269279
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Aug,70.9,0.857142857
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Aug,72.6,0.637168142
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Aug,72.1,0.558786346
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Aug,72.1,0.584070796
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Aug,76.6,0.685208597
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Aug,80.1,0.710493047
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Aug,75.6,0.730720607
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Aug,75.5,0.804045512
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Aug,72,0.666245259
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Aug,72.8,0.580278129
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Aug,74.5,0.658659924
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Aug,77.8,0.639696587
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Aug,76.4,0.609355247
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Aug,73.8,0.723135272
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Aug,75.1,0.757269279
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Aug,78.3,0.606826802
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013,Sep,78.9,0.606826802
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2013,Sep,76.9,0.544879899
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2013,Sep,75.7,0.696586599
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2013,Sep,72.7,0.763590392
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2013,Sep,73,0.623261694
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2013,Sep,64.7,0.662452592
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2013,Sep,67.8,0.739570164
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2013,Sep,73.7,0.632111252
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2013,Sep,65.3,0.798988622
