day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
4,2022,01,06,2022-01-06,38.7,23.9,1009.8,10.0,6.1,9.9,18.1,46.9,30.9,0.2,999.9,0,232
6,2013,01,26,2013-01-26,19.9,9.2,1019.8,9.0,5.7,9.9,15.0,26.1,15.1,0.07,999.9,0,558
1,2017,01,30,2017-01-30,34.6,13.9,1007.9,10.0,4.9,9.9,15.9,43.0,30.9,0.0,999.9,0,545
6,2017,01,07,2017-01-07,23.0,11.3,1024.1,5.7,6.2,9.9,18.1,28.9,19.4,0.01,1.2,1,896
7,2017,01,29,2017-01-29,38.4,18.6,1006.0,10.0,5.8,11.1,17.1,43.0,35.1,0.0,999.9,0,428
1,2021,01,04,2021-01-04,37.7,32.1,1014.5,9.2,5.3,11.1,18.1,43.0,34.0,0.24,999.9,1,242
2,2013,01,15,2013-01-15,37.9,27.9,1025.5,9.7,5.7,11.1,14.0,50.0,35.1,0.09,999.9,0,516
6,2022,01,08,2022-01-08,25.2,7.0,1030.1,10.0,6.3,11.1,21.0,34.0,19.9,0.03,5.9,0,235
3,2013,01,23,2013-01-23,14.4,-5.4,1022.5,10.0,7.7,11.1,24.1,19.9,10.9,0.0,999.9,0,545
5,2022,01,21,2022-01-21,19.3,0.3,1031.9,10.0,6.9,11.1,21.0,28.9,14.0,0.15,999.9,0,288
5,2013,01,25,2013-01-25,17.1,1.5,1027.5,9.3,6.1,11.1,22.0,24.1,12.9,0.0,999.9,0,674
4,2017,01,05,2017-01-05,31.4,9.3,1011.0,10.0,7.0,11.1,26.0,44.1,27.0,0.0,999.9,0,552
1,2014,01,06,2014-01-06,45.6,39.8,1002.6,3.6,6.3,11.1,22.9,55.0,35.6,0.23,3.9,1,518
1,2015,01,19,2015-01-19,39.2,27.9,1008.4,9.4,6.2,11.1,22.9,42.1,30.9,2.1,999.9,0,496
6,2015,01,24,2015-01-24,35.4,29.3,1005.6,4.2,5.5,11.1,17.1,39.0,28.0,0.66,999.9,1,428
4,2018,01,25,2018-01-25,28.2,6.7,1025.7,10.0,7.1,11.1,21.0,44.1,23.0,0.0,999.9,0,602
5,2017,01,13,2017-01-13,51.4,35.8,1025.7,10.0,6.4,11.1,22.0,64.9,36.0,0.05,999.9,0,604
3,2014,01,08,2014-01-08,12.9,-5.1,1031.1,10.0,6.3,11.1,20.0,21.0,9.0,0.0,999.9,0,616
2,2021,01,26,2021-01-26,33.3,19.7,1017.0,7.5,6,11.1,17.1,37.0,23.0,0.0,999.9,1,263
1,2013,01,07,2013-01-07,40.9,23.8,1022.6,10.0,5.7,11.1,17.1,45.0,37.0,0.0,999.9,0,521
1,2017,01,02,2017-01-02,39.3,28.9,1030.7,8.5,6.7,11.1,17.1,48.0,37.0,0.0,999.9,0,449
