day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2,2019,2,19,19/02/2019,28.2,8.9,1031.4,10,999.9,999.9,999.9,42.1,23,0.01,999.9,0,527
3,2019,2,20,20/02/2019,28.7,13.2,1035.4,7.1,999.9,999.9,999.9,36,23,0,999.9,1,615
3,2019,2,27,27/02/2019,26.3,7.1,1028.3,10,999.9,999.9,999.9,36,23,0,999.9,0,529
4,2019,2,28,28/02/2019,31,17.7,1020.1,9.1,999.9,999.9,999.9,37,23,0.03,999.9,0,699
3,2019,11,13,13/11/2019,27.6,5.1,1024.7,10,6.1,13,22,33.1,23,0.04,999.9,0,599
4,2019,11,14,14/11/2019,35,14.5,1029.4,10,3.3,7,999.9,45,23,0,999.9,0,545
7,2019,12,22,22/12/2019,36.6,23.4,1027.7,8.3,3.5,7,14,46,23,0,999.9,0,510
4,2020,1,9,09/01/2020,28.2,6.2,1035.6,10,4.9,12,21,42.1,23,0,999.9,0,521
5,2020,1,10,10/01/2020,41.4,29.3,1035.4,10,5.2,8.9,15.9,55,23,0,999.9,0,522
4,2017,3,23,23/03/2017,30.2,0.9,1033.2,10,5.3,8.9,20,50,23,0,999.9,0,703
5,2017,3,24,24/03/2017,43.3,20.2,1028.8,10,4.2,8,18.1,57,23,0,999.9,0,654
7,2017,12,17,17/12/2017,34.7,22.3,1023.9,10,2.8,6,999.9,39,23,0,2,0,547
1,2013,2,4,04/02/2013,26.8,10.5,1012,9.8,6.2,12,28,30,23,0.02,999.9,0,553
4,2018,1,25,25/01/2018,28.2,6.7,1025.7,10,7.1,11.1,21,44.1,23,0,999.9,0,602
5,2018,1,26,26/01/2018,30.7,4.8,1037.1,10,3.2,8,14,37.9,23,0,999.9,0,677
7,2013,11,24,24/11/2013,27.6,4.8,1019.9,9.7,10.8,21,34,37.4,23,0,999.9,1,494
1,2013,11,25,25/11/2013,27.5,6.8,1029.4,10,5.6,9.9,21,35.1,23,0,999.9,0,710
2,2013,11,26,26/11/2013,35.9,18.7,1025.5,9.1,3.2,8,15,41,23,0,999.9,0,867
4,2013,12,12,12/12/2013,26.8,8,1024.8,10,6.6,11.1,19,33.1,23,0,999.9,0,648
5,2013,12,13,13/12/2013,27.8,7.7,1021.7,10,5.5,11.1,25.1,35.1,23,0,999.9,0,695
3,2013,12,18,18/12/2013,28.9,18.3,1016.3,9.7,5.5,11.1,19,37,23,0.18,3.1,0,701
4,2013,12,19,19/12/2013,36.5,20.7,1020,9.7,4.8,8,21,45,23,0,3.9,0,607
2,2021,1,26,26/01/2021,33.3,19.7,1017,7.5,6,11.1,17.1,37,23,0,999.9,1,263
2,2021,1,26,26/01/2021,33.3,19.7,1017,7.5,6,11.1,17.1,37,23,0,999.9,1,263
2,2019,1,29,29/01/2019,32.7,21.7,1015.4,9.3,999.9,999.9,999.9,43,25,0,999.9,0,681
1,2021,12,20,20/12/2021,30.4,13.8,1026,10,4.5,8,999.9,45,25,0.02,999.9,0,292
1,2021,12,20,20/12/2021,30.4,13.8,1026,10,4.5,8,999.9,45,25,0.02,999.9,0,292
2,2021,12,21,21/12/2021,36.3,20.3,1019.6,10,4.2,7,15.9,43,25,0,999.9,0,256
2,2021,12,21,21/12/2021,36.3,20.3,1019.6,10,4.2,7,15.9,43,25,0,999.9,0,256
5,2013,1,18,18/01/2013,30.2,12.2,1024.4,10,5.7,9.9,20,39.9,25,0,999.9,0,561
4,2020,1,23,23/01/2020,38.7,16.8,1029,10,999.9,999.9,999.9,46.9,25,0,999.9,0,451
4,2020,1,30,30/01/2020,31.3,14.3,1024.8,10,4.2,8,15,37.9,25,0,999.9,0,525
5,2020,1,31,31/01/2020,37.9,27.9,1026.3,10,2.7,5.1,999.9,44.1,25,0,999.9,0,518
6,2013,2,9,09/02/2013,28.8,21,1013.9,3.4,8,14,25.1,32,25,1.52,999.9,1,403
5,2020,2,14,14/02/2020,33.8,15.4,1020.7,10,6.9,11.1,20,44.1,25,0.16,999.9,0,632
3,2018,1,17,17/01/2018,33.6,29.9,1025.3,6.4,4.5,9.9,15.9,36,25,0,999.9,0,611
5,2013,2,22,22/02/2013,30,17.2,1026.7,10,6.4,9.9,21,37.9,25,0,999.9,0,531
7,2020,3,1,01/03/2020,32,10.1,1019,10,6.5,9.9,20,44.1,25,0,999.9,0,423
1,2020,3,2,02/03/2020,46.6,25.3,1016.4,10,4.8,9.9,20,57.9,25,0,999.9,0,562
4,2018,2,8,08/02/2018,31,18.2,1023.5,10,6,11.1,24.1,45,25,0.85,999.9,0,616
5,2018,2,9,09/02/2018,29.9,14.7,1032.5,10,4.5,8.9,18.1,35.1,25,0,999.9,0,583
6,2013,11,30,30/11/2013,31.2,14.3,1039.1,10,4.9,8,999.9,39,25,0,999.9,0,479
4,2016,1,7,07/01/2016,37.9,8.7,1027.2,10,2.9,8,999.9,46,25,0,999.9,0,542
7,2013,12,1,01/12/2013,41.3,28.2,1023.8,10,2.1,6,999.9,48.9,25,0,999.9,0,420
2,2016,1,12,12/01/2016,32.2,11.5,1013.5,10,4.6,9.9,24.1,44.1,25,0,999.9,0,637
4,2021,1,21,21/01/2021,32.3,14.3,1010.8,10,3.9,9.9,20,43,25,0.02,999.9,0,251
4,2021,1,21,21/01/2021,32.3,14.3,1010.8,10,3.9,9.9,20,43,25,0.02,999.9,0,251
5,2021,1,22,22/01/2021,40.9,21.7,1004.6,10,5.7,12,25.1,45,25,0,999.9,0,254
5,2021,1,22,22/01/2021,40.9,21.7,1004.6,10,5.7,12,25.1,45,25,0,999.9,0,254
4,2021,1,28,28/01/2021,30,13.2,1018.1,10,7.2,17.1,32.1,37,25,0,999.9,0,262
4,2021,1,28,28/01/2021,30,13.2,1018.1,10,7.2,17.1,32.1,37,25,0,999.9,0,262
1,2014,1,27,27/01/2014,34.8,17.4,1006.9,10,5.9,15,24.1,44.1,25,0,3.9,0,511
6,2014,2,1,01/02/2014,39.1,17.2,1024.3,9.9,2.4,6,999.9,44.1,25,0,1.2,0,507
1,2019,1,7,07/01/2019,29.5,7.7,1029,10,999.9,999.9,999.9,48.9,25,0,999.9,0,584
6,2021,2,13,13/02/2021,27.5,5.2,1026,10,5.6,8.9,15.9,28.9,25,0,7.9,0,210
6,2021,2,13,13/02/2021,27.5,5.2,1026,10,5.6,8.9,15.9,28.9,25,0,7.9,0,210
2,2019,1,8,08/01/2019,38.9,31.3,1018.8,6.8,999.9,999.9,999.9,45,25,0.07,999.9,0,571
7,2021,2,14,14/02/2021,31.2,21.4,1023,9.8,4.1,8.9,15,37.9,25,0,7.9,1,184
7,2021,2,14,14/02/2021,31.2,21.4,1023,9.8,4.1,8.9,15,37.9,25,0,7.9,1,184
3,2019,1,16,16/01/2019,34,19.6,1018.1,9.3,999.9,999.9,999.9,39,25,0,999.9,0,579
2,2014,11,18,18/11/2014,35.4,16.3,1008.3,9.9,8.5,15.9,27,52,27,1.08,999.9,0,712
6,2014,11,29,29/11/2014,31.4,12.7,1026.1,10,3.1,7,999.9,37,27,0,999.9,0,394
4,2017,1,5,05/01/2017,31.4,9.3,1011,10,7,11.1,26,44.1,27,0,999.9,0,552
7,2014,11,30,30/11/2014,47.5,30.7,1021.2,10,3.3,7,999.9,54,27,0,999.9,0,377
5,2017,1,6,06/01/2017,30.2,16,1016.5,8,4.4,8,15,34,27,0.04,999.9,1,600
6,2019,11,9,09/11/2019,33.3,16.2,1026.1,10,2.8,8.9,15,41,27,0,999.9,0,502
7,2019,11,10,10/11/2019,43.9,24,1019,10,3.9,7,999.9,51.1,27,0,999.9,0,457
3,2014,12,31,31/12/2014,29.4,8.5,1026.7,10,4.3,8.9,18.1,34,27,0,999.9,0,461
1,2013,3,4,04/03/2013,32.8,16.4,1008.3,10,8.6,14,22.9,42.1,27,0,999.9,0,597
